Label,Tweet
1,Thankyou President Asif Ali Zardari    🔹18th Amendment 🔹CPEC 🔹Aghaz-e-Huqooq Balochistan 🔹NFC Award  🔹Pak -Iran Gas Pipeline  🔹Identity to Pashtoon  🔹BISP 🔹100% increment in salaries and pension #NaDarnayWalaZardari @BBhuttoZardari  @BakhtawarBZ @AseefaBZ https://t co/qFhq2q2aqq
1,CPEC projects nearing completion: PM Khan 
1,Suki Kinari Hydropower Project  a CPEC clean energy project with total capacity of 884MW  successfully achieved another remarkable milestone! Steady progress has been made amid COVID-19    #CPECMakingProgress #CPEC #Pakistan 🇵🇰🇨🇳 https://t co/GP44Aut3bC
1,@NSAajitkdoval @narendramodi @PMOIndia Chinese 🇨🇳 electric buses start flooding Pakistan 🇵🇰 via CPEC https://t co/UGQKN7xXse
0,@PakPMO @ImranKhanPTI IMRAN KHAN NIAZI's suffering from chronic verbal diarrhoea @Kashmir  He must concentrate on generating elusive foreign exchange else pak will default   Good he remembered East India company as Pakistan is now economic colony of China @CPEC  Think over it
0,This is like #China has nothing to do with #CPEC   @TheRealPCBMedia @iramizraja    #PAKvENG #Cricket #Pakistan https://t co/DVjUFcaynH
1,#PakistanBlueEconomy In this realm  the second phase of CPEC is absolutely key  The second phase of CPEC has started off with the development of Gwadar Free Zone (GFZ)     @A_Awan10 @PakAlphaFamily https://t co/uEl7dHxI0a
1,Chinese firms to invest $15 billion in Pakistan’s petrochemicals   Continue Reading: https://t co/0n4Wak2Lsn  #BOLNews #BreakingNews #China #chemicalindustry #petrochemicals #sector #industrial #CPEC #Pakistan #Ardh https://t co/BxmC3w0xpW
1,of $3 5 billion Karachi Comprehensive Coastal Development Zone (KCCDZ) in the CPEC framework 
1,@HeirOfAurangzeb Who's giving you these numbers   its nothing like that!  This is a cpec project and it's a direct investment    No loan!
1,The fight between the terror organisation Tehreek-e-Taliban or Pakistan Taliban and the Pakistani government endangers the CPEC projects  warns the Global Times  a Chinese Communist Party affiliated media   #IndiaNarrative  
0,Which is why the China Pakistan Economic Corridor is one of Beijing’s core strategic objectives   This is also why the U S  turns a blind eye to Indian sponsorship of terrorism in Pakistan  which has many aspects and Indian wishes attached but is mainly directed at CPEC  https://t co/5uCjmEkujL
0,Govt dismisses reports #CPEC facing delays  (#Balochistan province reference)      
1,Pakistan’s Planning Commission on Monday afternoon directed that combined electricity generation from solar and wind should be explored to meet the future needs of #Gwadar Airport at the hub of the China-Pakistan Economic Corridor (#CPEC)  https://t co/hLqe8dFzAk
1,#CPEC is a jewel for Pakistan  https://t co/LGC75ZOtjl
1,So now Karachi gets it's much deserved share in CPEC   From clearing it's naalas  solving water and sanitation issues transport problems (green line project completed circular railway to b inaugurated next month) @ImranKhanPTI s @PTIofficial gvnmt is owning khi like never before 
0,@globaltimesnews And making road for #CPEC in Occupied Kashmir is interference into India's Internal politics  Back Off from Occupied Kashmir
1,"RT ImranKhanPTI ""Inclusion of Karachi Comprehensive Coastal Development Zone in CPEC is game changer  Will cleanup our marine habitat for fishermen  develop 20k low income housing units &amp; present opportunities for investors  Will put Khi at par with developed port cities Wel…"
1,Gwadar to play key role in economic progress of Pakistan  CPEC Projects are going at full speed  Phase one of CPEC has been completed  In the second phase  Industrial Zones are to be established and special attention will be given to agriculture production  https://t co/YuI9QEH16l
